POSITION HOLDER,NAME OF THE ISSUER,ISIN,NET SHORT POSITION,"DATE POSITION WAS CREATED, CHANGED OR CANCELLED"
Artemis Investment Management LLP,ICAP plc,GB0033872168,0.67%,2013-01-10
"BlackRock Institutional Trust Company, National Association",Imagination Technologies Group plc,GB0009303123,0.70%,2012-11-01
"BlackRock Institutional Trust Company, National Association",Imagination Technologies Group plc,GB0009303123,0.69%,2012-11-02
"BlackRock Institutional Trust Company, National Association",IMAGINATION TECHNOLOGIES GROUP PLC,GB0009303123,0.58%,2012-11-14
"BlackRock Institutional Trust Company, National Association",Imagination Technologies Group PLC,GB0009303123,0.49%,2012-11-16
"BlackRock Institutional Trust Company, National Association",Imagination Technologies Group plc,GB0009303123,0.50%,2013-01-04
"BlackRock Institutional Trust Company, National Association",Imagination Technologies Group plc,GB0009303123,0.49%,2013-01-22
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.52%,2012-11-06
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.61%,2012-11-22
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.75%,2012-11-27
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.82%,2012-12-07
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,1.16%,2013-01-10
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,1.05%,2013-01-21
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.94%,2013-01-22
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.89%,2013-01-23
GLG Partners LP,Imagination Technologies Group Plc,GB0009303123,0.30%,2013-01-30
Saemor Capital B.V.,Imagination Technologies Group plc,GB0009303123,0.57%,2013-02-05
"AQR Capital Management, LLC",IMI PLC,GB0004579636,0.52%,2012-11-07
"AQR Capital Management, LLC",IMI PLC,GB0004579636,0.61%,2012-11-29
"AQR Capital Management, LLC",IMI PLC,GB0004579636,0.70%,2012-12-13
"AQR Capital Management, LLC",IMI PLC,GB0004579636,0.69%,2012-12-17
"AQR Capital Management, LLC",IMI PLC,GB0004579636,0.59%,2013-02-14
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.20%,2012-11-01
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.19%,2012-11-15
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.23%,2012-11-26
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.19%,2012-11-28
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.20%,2012-11-29
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.33%,2013-01-02
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.41%,2013-01-11
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.50%,2013-01-22
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.48%,2013-01-23
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.51%,2013-01-24
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.49%,2013-02-01
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.60%,2013-02-06
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.57%,2013-02-07
Och-Ziff Management Europe Ltd.,International Consolidated Airlines Group SA,ES0177542018,1.61%,2013-02-13
BlackRock Investment Management (UK) Limited,Interserve Plc,GB0001528156,1.34%,2012-11-01
"AQR Capital Management, LLC",Intertek Group PLC,GB0031638363,0.50%,2012-11-01
"AQR Capital Management, LLC",Intertek Group PLC,GB0031638363,0.39%,2012-11-20
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.90%,2012-11-01
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.88%,2012-11-05
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.75%,2012-12-04
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.66%,2012-12-05
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.53%,2012-12-06
"AQR Capital Management, LLC",Invensys PLC,GB00B19DVX61,0.42%,2012-12-07
NOMURA INTERNATIONAL PLC,IP GROUP PLC,GB00B128J450,0.50%,2012-11-27
S James ,IP Group PLC,GB00B128J450,1.00%,2012-10-31
Stephen James,IP Group PLC,GB00B128J450,0.49%,2013-02-04
BNP PARIBAS SA ,ITV PLC,GB0033986497,0.53%,2012-12-20
BNP PARIBAS SA ,ITV PLC,GB0033986497,0.64%,2013-01-17
CQS (UK) LLP,ITV Plc,GB0033986497,0.50%,2013-02-13
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,1.26%,2012-11-01
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,1.17%,2012-12-03
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,1.03%,2012-12-04
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.97%,2012-12-05
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.82%,2012-12-06
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.79%,2012-12-07
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.64%,2012-12-13
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.51%,2012-12-14
"Maverick Capital, Ltd.",ITV PLC,GB0033986497,0.46%,2012-12-17
Ennismore Fund Management Limited,JJB Sports Plc,GB00B646JG43,1.82%,2012-11-01
Polygon Global Partners LLP,JKX Oil & Gas PLC,GB0004697420,0.50%,2013-02-13
"FVP Master Fund, L.P.",Johnston Press PLC,GB0004769682,1.18%,2012-11-01
Cazenove Capital Management Limited,KELLER GROUP,GB0004866223,1.08%,2012-11-01
Cazenove Capital Management Limited,KELLER GROUP,GB0004866223,0.17%,2012-11-15
BlackRock Investment Management (UK) Limited,Kier Group plc,GB0004915632,1.33%,2012-11-01
"Anchorage Capital Master Offshore, Ltd.",Ladbrokes PLC,GB00B0ZSH635,0.59%,2013-02-06
"Anchorage Capital Master Offshore, Ltd.",Ladbrokes PLC,GB00B0ZSH635,0.62%,2013-02-07
"Anchorage Capital Master Offshore, Ltd.",Ladbrokes PLC,GB00B0ZSH635,0.70%,2013-02-11
"Morton Holdings, Inc.",Ladbrokes Plc,GB00B0ZSH635,1.26%,2012-11-01
BlackRock Investment Management (UK) Limited,Laird PLC,GB00B1VNST91,0.86%,2012-11-01
BlackRock Investment Management (UK) Limited,LAIRD PLC,GB00B1VNST91,0.90%,2012-11-27
BlackRock Investment Management (UK) Limited,Laird PLC,GB00B1VNST91,0.89%,2012-11-30
BlackRock Investment Management (UK) Limited,Laird PLC,GB00B1VNST91,0.90%,2012-12-03
Highbridge Capital Management LLC,LAMPRELL PLC,GB00B1CL5249,0.53%,2013-01-21
Highbridge Capital Management LLC,LAMPRELL PLC,GB00B1CL5249,0.61%,2013-01-31
Highbridge Capital Management LLC,LAMPRELL PLC,GB00B1CL5249,0.70%,2013-02-05
Highbridge Capital Management LLC,LAMPRELL PLC,GB00B1CL5249,0.82%,2013-02-12
Numeric Investors LLC,Lamprell Plc,GB00B1CL5249,0.51%,2013-02-07
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.32%,2012-11-06
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.41%,2012-11-16
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.50%,2012-11-23
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.48%,2012-12-06
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.39%,2012-12-20
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.29%,2013-01-04
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.19%,2013-01-17
Oxford Asset Management,Lamprell Plc,GB00B1CL5249,1.20%,2013-02-05
Moore Capital Mangement LP ,Lancashire Holdings Limited,BMG5361W1047,0.61%,2012-02-15
Moore Capital Mangement LP ,Lancashire Holdings Limited,BMG5361W1047,0.50%,2013-02-04
Moore Europe Capital Mangement LLP ,Lancashire Holdings Limited,BMG5361W1047,0.50%,2013-02-04
Moore Europe Capital Mangement LLP ,Lancashire Holdings Limited,BMG5361W1047,0.61%,2013-02-15
Och-Ziff Management Europe Ltd.,Lancashire Holdings Limited,BMG5361W1047,0.88%,2012-11-01
Och-Ziff Management Europe Ltd.,Lancashire Holdings Limited,BMG5361W1047,0.90%,2013-01-30
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.07%,2012-11-01
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.10%,2012-11-28
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.08%,2013-01-02
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.10%,2013-01-15
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.22%,2013-01-25
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.32%,2013-01-30
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.42%,2013-02-01
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.51%,2013-02-07
Oxford Asset Management,London Mining Plc,GB00B1VZK334,1.62%,2013-02-15
"BlackRock Institutional Trust Company, National Association",London Stock Exchange Group PLC,GB00B0SWJX34,0.60%,2012-11-01
"BlackRock Institutional Trust Company, National Association",London Stock Exchange Group PLC,GB00B0SWJX34,0.59%,2012-11-07
"BlackRock Institutional Trust Company, National Association",London Stock Exchange Group PLC,GB00B0SWJX34,0.49%,2012-11-16
GLG Partners LP,London Stock Exchange Group PLC,GB00B0SWJX34,0.58%,2012-11-01
GLG Partners LP,London Stock Exchange Group PLC,GB00B0SWJX34,0.61%,2012-12-07
GLG Partners LP,London Stock Exchange Group plc,GB00B0SWJX34,0.59%,2012-12-18
GLG Partners LP,London Stock Exchange Group PLC,GB00B0SWJX34,0.49%,2012-12-20
GLG Partners LP,London Stock Exchange Group PLC,GB00B0SWJX34,0.39%,2013-01-07
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.80%,2012-11-01
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.76%,2012-11-06
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.68%,2012-11-09
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.25%,2012-11-20
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.69%,2012-11-21
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.73%,2012-11-23
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.68%,2012-11-27
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.48%,2012-12-04
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.55%,2013-01-22
"AQR Capital Management, LLC",Lonmin PLC,GB0031192486,0.49%,2013-02-11
BlackRock Investment Management (UK) Limited,Lonmin Plc,GB0031192486,0.85%,2012-11-01
BlackRock Investment Management (UK) Limited,LONMIN PLC,GB0031192486,1.04%,2012-11-15
BlackRock Investment Management (UK) Limited,LONMIN PLC,GB0031192486,0.89%,2012-11-20
BlackRock Investment Management (UK) Limited,LONMIN PLC,GB0031192486,0.79%,2012-11-22
BlackRock Investment Management (UK) Limited,LONMIN PLC,GB00B844GQ10,0.79%,2012-11-23
BlackRock Investment Management (UK) Limited,LONMIN PLC,GB0031192486,0.63%,2012-11-29
BlackRock Investment Management (UK) Limited,Lonmin Plc,GB0031192486,0.59%,2012-11-30
BlackRock Investment Management (UK) Limited,Lonmin Plc,GB0031192486,0.49%,2013-01-11
BlackRock Investment Management (UK) Limited,Lonmin Plc,GB0031192486,0.51%,2013-01-14
Bocage Capital LLC,LONMIN PLC,GB0031192486,1.05%,2012-01-18
Bocage Capital LLC,LONMIN PLC,GB0031192486,0.79%,2012-11-01
Bocage Capital LLC,Lonmin plc,GB0031192486,1.06%,2012-11-08
Bocage Capital LLC,Lonmin PLC,GB0031192486,0.87%,2012-11-16
Bocage Capital LLC,Lonmin PLC,GB0031192486,1.06%,2012-12-07
Bocage Capital LLC,Lonmin PLC,GB0031192486,1.17%,2012-12-10
Bocage Capital LLC,Lonmin PLC,GB0031192486,1.29%,2012-12-11
Bocage Capital LLC,Lonmin PLC,GB0031192486,0.51%,2012-12-12
Bocage Capital LLC,LONMIN plc,GB0031192486,0.71%,2013-01-09
Bocage Capital LLC,LONMIN plc,GB0031192486,0.87%,2013-01-11
GUEVOURA FUND LTD,LONMIN PLC,GB0031192486,0.67%,2012-12-06
Investec Asset Management Limited,Lonmin Plc,GB0031192486,0.58%,2012-11-13
Investec Asset Management Limited,Lonmin Plc,GB0031192486,0.00%,2012-11-14
Magnetar Financial (UK) LLP,Lonmin Plc,GB0031192486,0.63%,2012-12-04
Magnetar Financial (UK) LLP,Lonmin Plc,GB0031192486,0.94%,2012-12-05
Magnetar Financial (UK) LLP,Lonmin Plc,GB0031192486,1.10%,2012-12-06
Magnetar Financial (UK) LLP,Lonmin Plc,GB0031192486,0.17%,2012-12-11
Marshall Wace LLP,Lonmin PLC,GB0031192486,0.54%,2012-11-27
Marshall Wace LLP,Lonmin PLC,GB0031192486,0.62%,2012-11-28
Marshall Wace LLP,Lonmin PLC,GB0031192486,0.03%,2012-12-11
NOMURA INTERNATIONAL PLC,LONMIN PLC,GB0031192486,0.54%,2012-11-29
NOMURA INTERNATIONAL PLC,LONMIN PLC,GB0031192486,0.84%,2012-12-05
Occitan Master Fund LP,Lonmin PLC,GB0031192486,0.97%,2012-11-07
Occitan Master Fund LP,Lonmin plc,GB0031192486,1.09%,2012-11-08
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.94%,2012-11-12
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.48%,2012-11-19
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.51%,2012-11-26
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.62%,2012-11-28
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.51%,2012-12-13
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.46%,2012-12-14
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.51%,2012-12-19
Occitan Master Fund LP,LONMIN PLC,GB0031192486,0.44%,2013-01-11
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,1.43%,2012-11-01
Odey Asset Management LLP,Lonmin plc,GB0031192486,1.56%,2012-11-02
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,1.38%,2012-11-14
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,0.89%,2012-11-30
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,0.94%,2013-01-16
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,0.82%,2013-01-31
ODEY ASSET MANAGEMENT LLP,LONMIN PLC,GB0031192486,0.55%,2013-02-01
Sothic Capital Management LLP,Lonmin Plc,GB0031192486,0.80%,2012-11-01
Sothic Capital Management LLP,Lonmin Plc,GB0031192486,0.57%,2012-12-11
Sothic Capital Management LLP,Lonmin Plc,GB0031192486,0.29%,2012-12-19
Sunrise Partners Limited Partnership,Lonmin plc,GB0031192486,0.58%,2012-11-06
Sunrise Partners Limited Partnership,Lonmin plc,GB0031192486,0.77%,2012-11-07
Bocage Capital LLC,LONMIN plc ,GB0031192486,0.98%,2012-01-17
Bocage Capital LLC,LONMIN plc ,GB0031192486,0.68%,2013-01-08
Lazard Asset Management LLC,Lonrho,GB0002568813,1.15%,2012-11-01
Lazard Asset Management LLC,Lonrho,GB0002568813,0.99%,2012-11-14
Lazard Asset Management LLC,Lonrho,GB0002568813,0.89%,2012-12-10
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.10%,2012-11-01
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.26%,2012-11-06
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.31%,2012-11-09
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.29%,2012-11-19
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.32%,2012-11-26
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.47%,2012-12-04
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.56%,2012-12-07
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.49%,2012-12-21
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.39%,2012-12-28
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.28%,2013-01-22
"AQR Capital Management, LLC",Man Group PLC,GB00B28KQ186,1.18%,2013-02-12
Lansdowne Partners Limited,Man Group PLC,GB00B28KQ186,1.71%,2012-11-01
Lansdowne Partners Limited,Man Group PLC,GB00B83VD954,1.69%,2013-01-02
Lansdowne Partners Limited,Man Group PLC,GB00B83VD954,1.83%,2013-02-06
Tremblant Capital LP,MANCHESTER UNITED PLC,KYG5784H1065,0.78%,2012-11-01
AKO Capital LLP for AKO Master Fund Limited,MARKS AND SPENCER GROUP PLC,GB0031274896,0.68%,2012-11-01
AKO Capital LLP for AKO Master Fund Limited,Marks and Spencer Group plc,GB0031274896,0.71%,2012-11-07
AKO Capital LLP for AKO Master Fund Limited,MARKS AND SPENCER GROUP PLC,GB0031274896,0.80%,2012-11-09
AKO Capital LLP for AKO Master Fund Limited,MARKS AND SPENCER GROUP PLC,GB0031274896,0.94%,2012-11-28
BlackRock Investment Management (UK) Limited,Marks and Spencer Group PLC,GB0031274896,0.61%,2012-11-01
BlackRock Investment Management (UK) Limited,MARKS AND SPENCER GROUP PLC,GB0031274896,0.56%,2012-11-15
BlackRock Investment Management (UK) Limited,Marks and Spencer Group PLC,GB0031274896,0.49%,2013-01-15
BlackRock Investment Management (UK) Limited,Marks and Spencer Group PLC,GB0031274896,0.50%,2013-01-16
BlackRock Investment Management (UK) Limited,Marks and Spencer Group PLC,GB0031274896,0.45%,2013-02-07
Soroban Capital Partners LLC,Marks and Spencer Group PLC,GB0031274896,0.72%,2012-11-01
BlackRock Investment Management (UK) Limited,MARSTONS PLC,GB00B1JQDM80,1.45%,2013-02-08
BlackRock Investment Management (UK) Limited,Marston's PLC,GB00B1JQDM80,1.60%,2012-11-01
BlackRock Investment Management (UK) Limited,Marston's PLC,GB00B1JQDM80,1.62%,2013-01-04
BlackRock Investment Management (UK) Limited,Marston's PLC,GB00B1JQDM80,1.55%,2013-01-09
Henderson Global Investors,Marston's plc,GB00B1JQDM80,2.20%,2012-11-01
Henderson Global Investors,Marston's plc,GB00B1JQDM80,2.16%,2012-11-26
GLG Partners LP,Max Petroleum Plc,GB00B0H1P667,2.60%,2012-11-01
GLG Partners LP,Max Petroleum Plc,GB00B0H1P667,1.55%,2012-12-31
GLG Partners LP,Max Petroleum Plc,GB00B0H1P667,1.49%,2013-01-16
GLG Partners LP,Max Petroleum Plc,GB00B0H1P667,1.06%,2013-01-22
Henderson Alternative Investment Limited,Mcbride Group Plc,GB0005746358,0.51%,2013-01-31
Henderson Alternative Investment Limited,Mcbride Group Plc,GB0005746358,0.61%,2013-02-08
BlackRock Investment Management (UK) Limited,Mears Group PLC,GB0005630420,2.91%,2012-11-01
BlackRock Investment Management (UK) Limited,MEARS GROUP PLC,GB0005630420,2.87%,2012-11-29
BlackRock Investment Management (UK) Limited,Mears Group PLC,GB0005630420,2.79%,2013-01-17
Insight Investment Management (Global) Ltd,Mears Group PLC,GB0005630420,0.54%,2013-01-14
Sunrise Partners Limited Partnership,Mediaset Spa,IT0001063210,0.58%,2012-11-06
BlackRock Investment Management (UK) Limited,Meggitt PLC,GB0005758098,0.60%,2012-11-01
BlackRock Investment Management (UK) Limited,Meggitt PLC,GB0005758098,0.57%,2012-11-09
BlackRock Investment Management (UK) Limited,MEGGITT PLC,GB0005758098,0.47%,2013-02-08
"BlackRock Institutional Trust Company, National Association",Michael Page International plc,GB0030232317,0.51%,2012-12-20
"BlackRock Institutional Trust Company, National Association",Michael Page International plc,GB0030232317,0.46%,2013-01-15
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,0.63%,2013-01-15
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,0.72%,2013-01-16
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,0.81%,2013-01-17
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.03%,2013-01-18
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.13%,2013-01-21
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.32%,2013-01-22
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.42%,2013-01-23
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.54%,2013-01-25
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.81%,2013-01-30
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,1.94%,2013-02-01
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,2.06%,2013-02-06
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,2.45%,2013-02-12
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,2.65%,2013-02-13
Lansdowne Partners Limited,Michael Page International plc,GB0030232317,2.81%,2013-02-14
Newbrook Capital Advisors LP,Michael Page International plc,GB0030232317,0.80%,2012-11-01
Newbrook Capital Advisors LP,Michael Page International plc,GB0030232317,0.90%,2013-01-14
Saemor Capital B.V.,Michael Page International Plc,GB0030232317,0.51%,2012-12-31
"BlackRock Institutional Trust Company, National Association",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.53%,2013-01-02
"BlackRock Institutional Trust Company, National Association",Micro Focus International plc,GB00B83XCK58,0.49%,2013-01-24
"BlackRock Institutional Trust Company, National Association",Micro Focus International plc,GB00B83XCK58,0.50%,2013-01-28
"BlackRock Institutional Trust Company, National Association",MICRO FOCUS INTERNATIONAL PLC,GB00B83XCK58,0.45%,2013-01-30
BlackRock Investment Management (UK) Limited,MITIE Group PLC,GB0004657408,0.85%,2012-11-01
BlackRock Investment Management (UK) Limited,MITIE Group PLC,GB0004657408,0.91%,2013-01-28
BlackRock Investment Management (UK) Limited,Mondi plc,GB00B1CRLC47,0.52%,2012-11-01
BlackRock Investment Management (UK) Limited,Mondi plc,GB00B1CRLC47,0.44%,2012-11-13
GMT Capital Corp,Monitise PLC,GB00B1YMRB82,0.83%,2012-11-01
GMT Capital Corp,Monitise PLC,GB00B1YMRB82,0.63%,2012-11-23
GMT Capital Corp,Monitise PLC,GB00B1YMRB82,0.55%,2012-12-03
Numeric Investors LLC,Monitise PLC,GB00B1YMRB82,0.53%,2013-01-18
Numeric Investors LLC,Monitise PLC,GB00B1YMRB82,0.43%,2013-01-23
Numeric Investors LLC,Monitise PLC,GB00B1YMRB82,0.51%,2013-02-06
BlackRock Investment Management (UK) Limited,Morgan Crucible Company plc,GB0006027295,0.58%,2012-11-01
BlackRock Investment Management (UK) Limited,MORGAN CRUCIBLE COMPANY PLC,GB0006027295,0.64%,2012-11-22
BlackRock Investment Management (UK) Limited,MORGAN CRUCIBLE COMPANY PLC,GB0006027295,0.59%,2012-11-23
BlackRock Investment Management (UK) Limited,Morgan Crucible Company plc,GB0006027295,0.62%,2013-01-04
BlackRock Investment Management (UK) Limited,Morgan Sindall Group plc,GB0008085614,1.40%,2012-11-01
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,3.18%,2012-11-01
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.97%,2012-12-11
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.90%,2012-12-14
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.79%,2012-12-18
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.70%,2012-12-28
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.57%,2013-01-28
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.50%,2013-01-31
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.37%,2013-02-06
Barrington Wilshire LLC,Mothercare PLC,GB0009067447,2.08%,2013-02-13
Cazenove Capital Management Limited,MOTHERCARE plc,GB0009067447,0.63%,2013-01-08
Cazenove Capital Management Limited,MOTHERCARE plc,GB0009067447,0.44%,2013-01-18
Henderson Alternative Investment Limited,Mothercare plc,GB0009067447,0.50%,2013-01-17
"Sierra Global Management, LLC",Mothercare PLC,GB0009067447,0.58%,2012-11-01
"Sierra Global Management, LLC",Mothercare PLC,GB0009067447,0.45%,2012-12-28
"Sierra Global Management, LLC",Mothercare PLC,GB0009067447,0.51%,2013-01-31
"Teton Capital Partners, L.P.",NANOCO GROUP PLC,GB00B01JLR99,0.68%,2012-11-01
Ardevora Asset Management LLP,Ocado Group PLC,GB00B3MBS747,0.55%,2012-11-01
Ardevora Asset Management LLP,Ocado Group PLC,GB00B3MBS747,0.33%,2012-11-07
BlackRock Investment Management (UK) Limited,Ocado Group plc,GB00B3MBS747,2.59%,2012-11-01
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,2.65%,2012-11-15
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,2.52%,2012-11-19
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,2.29%,2012-11-27
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,2.30%,2012-12-11
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,2.29%,2012-12-12
BlackRock Investment Management (UK) Limited,Ocado Group plc,GB00B3MBS747,2.16%,2013-01-08
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,1.94%,2013-01-30
BlackRock Investment Management (UK) Limited,Ocado Group plc,GB00B3MBS747,1.70%,2013-02-07
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,1.68%,2013-02-08
Blue Ridge Capital L.L.C,Ocado Group PLC,GB00B3MBS747,2.41%,2012-11-01
Blue Ridge Capital L.L.C,Ocado Group PLC,GB00B3MBS747,2.19%,2012-11-26
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.49%,2012-11-01
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.51%,2012-11-02
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.44%,2012-11-12
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.37%,2012-11-14
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.28%,2012-11-15
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.34%,2012-11-27
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.23%,2012-12-04
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.12%,2012-12-12
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.26%,2013-01-21
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.34%,2013-01-22
Dalton Strategic Partnership LLP,Ocado Group PLC,GB00B3MBS747,1.43%,2013-02-08
Ennismore Fund Management Limited,Ocado Group Plc,GB00B3MBS747,1.09%,2012-11-01
Ennismore Fund Management Limited,Ocado Group Plc,GB00B3MBS747,0.99%,2012-11-26
GMT Capital Corp,Ocado Group PLC,GB00B3MBS747,2.53%,2012-11-01
GMT Capital Corp,Ocado Group PLC,GB00B3MBS747,2.45%,2012-11-15
GMT Capital Corp,Ocado Group PLC,GB00B3MBS747,2.52%,2012-11-27
GMT Capital Corp,Ocado Group PLC,GB00B3MBS747,2.61%,2013-02-12
Kynikos Associates LP,Ocado Group PLC,GB00B3MBS747,3.56%,2012-11-01
