"holder","issuer","isin","position","date"
"Sothic Capital Management LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",2.24,"2012-11-06"
"BG Master Fund Plc","Volkswagen Versicherung Aktiengesellschaft","DE0007664039",0.62,"2012-11-06"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.89,"2012-11-06"
"Oxford Asset Management","Prelios Spa","IT0003270615",1.29,"2012-11-06"
"Oxford Asset Management","Unipol Gruppo Finanziario Spa","IT0004810054",0.61,"2012-11-06"
"Oxford Asset Management","SAF Holland","LU0307018795",1.23,"2012-11-06"
"SUNRISE PARTNERS LIMITED PARTNERSHIP","Modern Times Group AB","SE0000412371",0.6,"2012-11-06"
"Highbridge Capital Management, LLC","LANXESS Aktiengesellschaft","DE0005470405",0.53,"2012-11-05"
"S.A.C. Global Investors LLP","freenet AG","DE000A0Z2ZZ5",0.43,"2012-11-05"
"BlackRock Institutional Trust Company, National Association","Süss MicroTec AG","DE000A1K0235",0.6,"2012-11-05"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.13,"2012-11-05"
"Marble Arch Investments","United Internet AG","DE0005089031",0.66,"2012-11-02"
"Weiss Asset Management LP","DIC Asset AG","DE0005098404",0.63,"2012-11-02"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",1.82,"2012-11-02"
"Crestwood Capital Management, L.P.","SolarWorld Aktiengesellschaft","DE0005108401",0.84,"2012-11-02"
"Marble Arch Investments","SolarWorld Aktiengesellschaft","DE0005108401",1.38,"2012-11-02"
"Tiger Global Management, LLC","SolarWorld Aktiengesellschaft","DE0005108401",0.7,"2012-11-02"
"JPMorgan Asset Management (UK) Ltd","zooplus AG","DE0005111702",0.54,"2012-11-02"
"D. E. Shaw & Co., L.P.","LEONI AG","DE0005408884",0.6,"2012-11-02"
"Highbridge Capital Management, LLC","LANXESS Aktiengesellschaft","DE0005470405",0.52,"2012-11-02"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",0.9,"2012-11-02"
"Maverick Capital, Ltd.","Axel Springer Aktiengesellschaft","DE0005501357",0.55,"2012-11-02"
"Highbridge Capital Management, LLC","Drillisch Aktiengesellschaft","DE0005545503",0.6,"2012-11-02"
"Arrowgrass Capital Partners LLP","Drägerwerk AG & Co. KGaA","DE0005550636",0.71,"2012-11-02"
"D. E. Shaw & Co. (U.K.), Ltd.","Drägerwerk AG & Co. KGaA","DE0005550636",0.97,"2012-11-02"
"Tiger Global Management, LLC","Global PVQ SE","DE0005558662",0.63,"2012-11-02"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.79,"2012-11-02"
"Oxford Asset Management","""IVG"" Immobilien - Verwaltung - Gastronomie GmbH","DE0006205701",0.67,"2012-11-02"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004",0.59,"2012-11-02"
"JPMorgan Asset Management (UK) Ltd","Singulus Technologies Aktiengesellschaft","DE0007238909",1.96,"2012-11-02"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.44,"2012-11-02"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.58,"2012-11-02"
"AKO Capital LLP","METRO AG","DE0007257503",1.47,"2012-11-02"
"CQS (UK) LLP","Südzucker Aktiengesellschaft Mannheim/Ochsenfurt","DE0007297004",0.67,"2012-11-02"
"Marble Arch Investments","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",2.74,"2012-11-02"
"Sothic Capital Management LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",1.96,"2012-11-02"
"Wellington Management Company, LLP","Deutsche EuroShop AG","DE0007480204",2.88,"2012-11-02"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.8,"2012-11-02"
"CQS (UK) LLP","TAG Immobilien AG","DE0008303504",2.15,"2012-11-02"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",1.68,"2012-11-02"
"LINDEN ADVISORS LP","TAG Immobilien AG","DE0008303504",1.79,"2012-11-02"
"Polygon Global Partners LLP","TAG Immobilien AG","DE0008303504",0.55,"2012-11-02"
"Passport Capital, LLC","Nordex SE","DE000A0D6554",0.59,"2012-11-02"
"Sothic Capital Management LLP","SMA Solar Technology AG","DE000A0DJ6J9",1.29,"2012-11-02"
"Sothic Capital Management LLP","Praktiker AG","DE000A0F6MD5",4.59,"2012-11-02"
"Tiger Global Management, LLC","Asian Bamboo AG","DE000A0M6M79",1.99,"2012-11-02"
"Asian Century Quest Capital LLC","AIXTRON SE","DE000A0WMPJ6",0.78,"2012-11-02"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",4.13,"2012-11-02"
"Maverick Capital, Ltd.","AIXTRON SE","DE000A0WMPJ6",7.82,"2012-11-02"
"S.A.C. Global Investors LLP","freenet AG","DE000A0Z2ZZ5",0.5,"2012-11-02"
"Brookside Capital Management, LLC","adidas AG","DE000A1EWWW0",0.59,"2012-11-02"
"BlackRock Advisors (UK) Limited","Süss MicroTec AG","DE000A1K0235",0.5,"2012-11-02"
"BlackRock Institutional Trust Company, National Association","Süss MicroTec AG","DE000A1K0235",0.53,"2012-11-02"
"Ennismore Fund Management Limited","Conergy AG","DE000A1KRCK4",1.79,"2012-11-02"
"AKO Capital LLP","Celesio AG","DE000CLS1001",2.26,"2012-11-02"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.92,"2012-11-02"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.66,"2012-11-02"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.03,"2012-11-02"
"Tiger Management LLC","Powerland AG","DE000PLD5558",1.08,"2012-11-02"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.54,"2012-11-02"
"AQR Capital Management, LLC","Symrise AG","DE000SYM9999",0.5,"2012-11-02"
"Davidson Kempner European Partners, LLP","TUI AG","DE000TUAG000",0.53,"2012-11-02"
"J.P. Morgan Securities plc","TUI AG","DE000TUAG000",0.6,"2012-11-02"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",4.08,"2012-11-02"
"Polygon Global Partners LLP","TUI AG","DE000TUAG000",0.62,"2012-11-02"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.6,"2012-11-02"
"Discovery Capital Management, LLC","Wacker Chemie AG","DE000WCH8881",1.85,"2012-11-02"
"Morton Holdings, Inc.","Wacker Chemie AG","DE000WCH8881",1.01,"2012-11-02"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.82,"2012-11-02"
"Arrowgrass Capital Partners LLP","Qiagen N.V.","NL0000240000",1.11,"2012-11-02"
"Castle Creek Arbitrage LLC","Qiagen N.V.","NL0000240000",0.82,"2012-11-02"
"Ferox Capital LLP","Qiagen N.V","NL0000240000",0.89,"2012-11-02"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.41,"2012-11-01"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0,"2012-11-01"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.89,"2012-11-01"
"Sheffield Asset Management, L.L.C.","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007",0.95,"2012-11-01"
"QVT Financial LP","Wirecard AG","DE0007472060",1.08,"2012-11-01"
"Meditor Capital Management Limited","ProSiebenSat.1 Media AG","DE0007771172",0.95,"2012-11-01"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",1.21,"2012-11-01"
"WS Management, LLLP","Hannover Rückversicherung AG","DE0008402215",0.36,"2012-11-01"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.87,"2012-11-01"
"Barrington Wilshire LLC","SMA Solar Technology AG","DE000A0DJ6J9",1.43,"2012-11-01"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.25,"2012-11-01"
"DNB Asset Management AS","Süss MicroTec AG","DE000A1K0235",1.45,"2012-11-01"
"Meditor Capital Management Limited","HUGO BOSS AG","DE000A1PHFF7",0.72,"2012-11-01"
"Saemor Capital B.V.","Klöckner & Co SE","DE000KC01000",0.97,"2012-11-01"
"Pennant Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.95,"2012-11-01"
"Pennant Capital Management, LLC","TUI AG","DE000TUAG000",0.9,"2012-11-01"
